RUN	KeycloakLoginSimulator	keycloakloginsimulator	1591938312879	 	3.3.1
REQUEST	53		Login for realm admin	1591938327877	1591938328540	OK	 
REQUEST	52		Second unauthenticated request	1591938328446	1591938328553	OK	 
REQUEST	55		Second unauthenticated request	1591938328466	1591938328562	OK	 
REQUEST	50		Second unauthenticated request	1591938328231	1591938328562	OK	 
REQUEST	56		Login for basic user	1591938328083	1591938328610	OK	 
REQUEST	58		Login for basic user	1591938328395	1591938328673	OK	 
USER	Users	61	START	1591938328733	1591938328733
REQUEST	51		Logout basic user	1591938328195	1591938328741	OK	 
REQUEST	54		Second unauthenticated request	1591938328466	1591938328741	OK	 
REQUEST	59		First unauthenticated request	1591938328240	1591938328747	OK	 
REQUEST	55		Login for realm admin	1591938328563	1591938328836	OK	 
REQUEST	58		Logout basic user	1591938328673	1591938328883	OK	 
REQUEST	60		First unauthenticated request	1591938328492	1591938328916	OK	 
REQUEST	46		Login for realm admin	1591938327999	1591938328942	OK	 
REQUEST	55		Logout realm admin	1591938328837	1591938328964	OK	 
USER	Users	55	END	1591938327289	1591938328965
REQUEST	58		Second unauthenticated request	1591938328884	1591938328977	OK	 
USER	Users	62	START	1591938328982	1591938328982
REQUEST	48		Login for realm admin	1591938328443	1591938328995	OK	 
REQUEST	56		Logout basic user	1591938328611	1591938329042	OK	 
REQUEST	51		Second unauthenticated request	1591938328742	1591938329048	OK	 
REQUEST	57		Login for basic user	1591938328244	1591938329117	OK	 
REQUEST	60		Login for basic user	1591938328917	1591938329125	OK	 
REQUEST	46		Logout realm admin	1591938328943	1591938329129	OK	 
USER	Users	46	END	1591938325243	1591938329129
REQUEST	53		Logout realm admin	1591938328541	1591938329131	OK	 
USER	Users	53	END	1591938326892	1591938329132
REQUEST	60		Logout basic user	1591938329125	1591938329209	OK	 
USER	Users	63	START	1591938329229	1591938329229
REQUEST	61		First unauthenticated request	1591938328734	1591938329234	OK	 
REQUEST	58		Login for realm admin	1591938328978	1591938329274	OK	 
REQUEST	56		Second unauthenticated request	1591938329043	1591938329277	OK	 
REQUEST	60		Second unauthenticated request	1591938329209	1591938329339	OK	 
REQUEST	57		Logout basic user	1591938329118	1591938329346	OK	 
USER	Users	64	START	1591938329480	1591938329480
REQUEST	48		Logout realm admin	1591938328996	1591938329563	OK	 
